XAUUSD Historical Data
Date,Open,High,Low,Close,Change(Pips),Change(%)
11/03/2025 21:40,4002.77,4002.88,4001.31,4001.32,-145,-0.04,
11/03/2025 21:35,4002.19,4002.79,4001.42,4002.77,58,0.01,
11/03/2025 21:30,4001.91,4002.63,4000.4,4002.3,39,0.01,
11/03/2025 21:25,4004.05,4004.1,4000.99,4001.78,-227,-0.06,
11/03/2025 21:20,4004.31,4004.5,4001.82,4004.01,-30,-0.01,
11/03/2025 21:15,4005.16,4005.79,4004.15,4004.49,-67,-0.02,
11/03/2025 21:10,4006.27,4006.59,4004.55,4005.02,-125,-0.03,
11/03/2025 21:05,4009.5,4009.87,4005.3,4006.15,-335,-0.08,
11/03/2025 21:00,4010.1,4010.1,4007.58,4009.52,-58,-0.01,
11/03/2025 20:55,4011.59,4012.04,4009.1,4010.04,-155,-0.04,
11/03/2025 20:50,4009.19,4012.16,4009.18,4011.68,249,0.06,
11/03/2025 20:45,4009.29,4009.8,4007.91,4009.03,-26,-0.01,
11/03/2025 20:40,4009.22,4010.29,4007.14,4009.22,0,0.00,
11/03/2025 20:35,4009.99,4010.26,4009.07,4009.34,-65,-0.02,
11/03/2025 20:30,4011.48,4012.01,4009.71,4010.11,-137,-0.03,
11/03/2025 20:25,4011.27,4012.2,4009.49,4011.55,28,0.01,
11/03/2025 20:20,4011.24,4014.95,4011.1,4011.27,3,0.00,
11/03/2025 20:15,4010.18,4012.47,4009.95,4011.44,126,0.03,
11/03/2025 20:10,4008.36,4010.32,4008.17,4010.19,183,0.05,
11/03/2025 20:05,4010.52,4011.99,4007.99,4008.49,-203,-0.05,
11/03/2025 20:00,4004.77,4010.31,4004.73,4010.31,554,0.14,
11/03/2025 19:55,4007.64,4007.64,4003.33,4004.82,-282,-0.07,
11/03/2025 19:50,4003.28,4007.66,4002.34,4007.66,438,0.11,
11/03/2025 19:45,4000.57,4003.18,3999.69,4003.16,259,0.06,
11/03/2025 19:40,4002.84,4003.15,4000.61,4000.61,-223,-0.06,
11/03/2025 19:35,4002.51,4002.99,4000.99,4002.99,48,0.01,
11/03/2025 19:30,4003.86,4005.08,4001.99,4002.79,-107,-0.03,
11/03/2025 19:25,4004.55,4005.24,4003.21,4004.07,-48,-0.01,
11/03/2025 19:20,4002.84,4006.04,4002.84,4004.32,148,0.04,
11/03/2025 19:15,4003.45,4005.76,4001.75,4002.6,-85,-0.02,
11/03/2025 19:10,4000.38,4003.89,4000.1,4003.32,294,0.07,
11/03/2025 19:05,3997.86,4002.54,3995.33,4000.2,234,0.06,
11/03/2025 19:00,4006.43,4007.79,3996.3,3997.95,-848,-0.21,
11/03/2025 18:55,4005.3,4007.48,4004.66,4006.24,94,0.02,
11/03/2025 18:50,4005.07,4005.91,4003.45,4005.29,22,0.01,
11/03/2025 18:45,4008.39,4008.48,4004.33,4005.07,-332,-0.08,
11/03/2025 18:40,4007.54,4009.34,4007.16,4008.13,59,0.01,
11/03/2025 18:35,4009.17,4009.47,4006.54,4007.4,-177,-0.04,
11/03/2025 18:30,4001.22,4009.34,4001.01,4009.34,812,0.20,
11/03/2025 18:25,4001.72,4002.79,3999.5,4001.31,-41,-0.01,
11/03/2025 18:20,4001.71,4002.55,3999.58,4001.68,-3,0.00,
11/03/2025 18:15,4003.03,4003.96,4001.12,4001.68,-135,-0.03,
11/03/2025 18:10,4004.43,4004.71,4001.74,4002.96,-147,-0.04,
11/03/2025 18:05,4004.34,4006.37,4003.43,4004.47,13,0.00,
11/03/2025 18:00,4006.25,4006.93,4004.01,4004.27,-198,-0.05,
11/03/2025 17:55,4006.86,4007.19,4006.22,4006.32,-54,-0.01,
11/03/2025 17:50,4006.66,4007.31,4005.68,4006.95,29,0.01,
11/03/2025 17:45,4005.45,4007.6,4005.09,4006.55,110,0.03,
11/03/2025 17:40,4005.74,4006.78,4004.07,4005.66,-8,0.00,
11/03/2025 17:35,4006.16,4007.38,4005.31,4005.81,-35,-0.01,
11/03/2025 17:30,4006.97,4007.36,4004.85,4006.19,-78,-0.02,
11/03/2025 17:25,4010.14,4010.65,4006.69,4006.83,-331,-0.08,
11/03/2025 17:20,4009.42,4012.12,4009.2,4010.18,76,0.02,
11/03/2025 17:15,4008.22,4009.48,4006.7,4009.35,113,0.03,
11/03/2025 17:10,4004.62,4009.76,4003.42,4008.24,362,0.09,
11/03/2025 17:05,4006.33,4008.22,4003.7,4004.59,-174,-0.04,
11/03/2025 17:00,4008.2,4009.83,4006.27,4006.41,-179,-0.04,
11/03/2025 16:55,4008.97,4009.77,4006.37,4008.16,-81,-0.02,
11/03/2025 16:50,4008.48,4009.32,4006.85,4009.14,66,0.02,
11/03/2025 16:45,4003.69,4008.8,4001.79,4008.45,476,0.12,
11/03/2025 16:40,4002.32,4004.53,4002.32,4003.76,144,0.04,
11/03/2025 16:35,3996.63,4004.07,3996.36,4002.83,620,0.15,
11/03/2025 16:30,3998.08,3999.92,3995.93,3996.5,-158,-0.04,
11/03/2025 16:25,3998.06,4001.32,3996.83,3998.22,16,0.00,
11/03/2025 16:20,3999.88,4004.89,3997.78,3998.34,-154,-0.04,
11/03/2025 16:15,4004.72,4005.37,3995.25,3999.9,-482,-0.12,
11/03/2025 16:10,4007.08,4008.1,4001.96,4004.77,-231,-0.06,
11/03/2025 16:05,4011.87,4012.81,4003.51,4007.09,-478,-0.12,
11/03/2025 16:00,4008.39,4013.48,4007.08,4011.98,359,0.09,
11/03/2025 15:55,4009.9,4012.98,4003.31,4008.06,-184,-0.05,
11/03/2025 15:50,4019.18,4019.18,4009.78,4010.03,-915,-0.23,
11/03/2025 15:45,4021.36,4023.78,4017.76,4019.23,-213,-0.05,
11/03/2025 15:40,4017.49,4022.47,4015.38,4022.12,463,0.12,
11/03/2025 15:35,4013,4018.69,4005.88,4017.3,430,0.11,
11/03/2025 15:30,4011.46,4015.24,4009.51,4013.21,175,0.04,
11/03/2025 15:25,4017.89,4019.7,4008.69,4011.2,-669,-0.17,
11/03/2025 15:20,4027.48,4027.71,4017.95,4017.95,-953,-0.24,
11/03/2025 15:15,4026.16,4028.65,4024.98,4027.89,173,0.04,
11/03/2025 15:10,4025.6,4030.38,4024.11,4026.81,121,0.03,
11/03/2025 15:05,4026.79,4027.7,4023.16,4025.87,-92,-0.02,
11/03/2025 15:00,4022.74,4030.45,4022.74,4026.83,409,0.10,
11/03/2025 14:55,4024.35,4025.66,4022.08,4022.87,-148,-0.04,
11/03/2025 14:50,4020.49,4025.98,4020.13,4024.25,376,0.09,
11/03/2025 14:45,4012.57,4024.45,4012.57,4020.69,812,0.20,
11/03/2025 14:40,4009.9,4012.97,4009.18,4012.58,268,0.07,
11/03/2025 14:35,4008.95,4013.55,4006.67,4010.02,107,0.03,
11/03/2025 14:30,4010.36,4011.86,4001.7,4008.62,-174,-0.04,
11/03/2025 14:25,4016.22,4017.73,4009.46,4010.36,-586,-0.15,
11/03/2025 14:20,4015.54,4020.39,4015.36,4016.57,103,0.03,
11/03/2025 14:15,4016.07,4018.09,4014.51,4015.8,-27,-0.01,
11/03/2025 14:10,4013.68,4016.75,4012.99,4016.68,300,0.07,
11/03/2025 14:05,4016.82,4018.12,4012.88,4013.43,-339,-0.08,
11/03/2025 14:00,4016,4020.8,4015.14,4017.06,106,0.03,
11/03/2025 13:55,4016.63,4017.7,4014.88,4015.94,-69,-0.02,
11/03/2025 13:50,4016.5,4017.41,4015.43,4016.75,25,0.01,
11/03/2025 13:45,4017.37,4018.21,4015.42,4016.47,-90,-0.02,
11/03/2025 13:40,4018.45,4019.22,4016.31,4017.18,-127,-0.03,
11/03/2025 13:35,4015.76,4020.23,4015.76,4018.44,268,0.07,
11/03/2025 13:30,4014.35,4016.28,4010.7,4015.73,138,0.03,
11/03/2025 13:25,4015.94,4017.5,4013.94,4014.29,-165,-0.04,
11/03/2025 13:20,4018.13,4019.58,4015.48,4016.11,-202,-0.05,
11/03/2025 13:15,4015.71,4018.39,4014.92,4017.98,227,0.06,
11/03/2025 13:10,4013.92,4018.41,4013.47,4015.76,184,0.05,
11/03/2025 13:05,4014.78,4015.46,4012.59,4014.32,-46,-0.01,
11/03/2025 13:00,4013.26,4017.65,4011.97,4014.94,168,0.04,
11/03/2025 12:55,4011.54,4013.63,4010.64,4013.34,180,0.04,
11/03/2025 12:50,4012.06,4012.65,4009.6,4011.5,-56,-0.01,
11/03/2025 12:45,4008.32,4012.88,4008.17,4011.82,350,0.09,
11/03/2025 12:40,4009.96,4010,4007.96,4008.34,-162,-0.04,
11/03/2025 12:35,4009.4,4011.02,4007.72,4009.91,51,0.01,
11/03/2025 12:30,4005.28,4010.84,4003.58,4009.37,409,0.10,
11/03/2025 12:25,4006.14,4006.6,4004.27,4005.03,-111,-0.03,
11/03/2025 12:20,4006.48,4006.88,4001.69,4006.39,-9,0.00,
11/03/2025 12:15,4007.14,4007.78,4006.07,4006.58,-56,-0.01,
11/03/2025 12:10,4006.15,4008.76,4006.15,4007.01,86,0.02,
11/03/2025 12:05,4005.57,4007.09,4004.75,4006.13,56,0.01,
11/03/2025 12:00,4007.54,4008.63,4004.86,4005.55,-199,-0.05,
11/03/2025 11:55,4006.72,4007.64,4005.41,4007.51,79,0.02,
11/03/2025 11:50,4006.8,4008.59,4006.04,4006.64,-16,0.00,
11/03/2025 11:45,4005.15,4008.12,4004.34,4006.82,167,0.04,
11/03/2025 11:40,4005.16,4006.01,4003.08,4005.42,26,0.01,
11/03/2025 11:35,4003.76,4006.66,4002.9,4005.17,141,0.04,
11/03/2025 11:30,4006.67,4006.91,4003.08,4003.72,-295,-0.07,
11/03/2025 11:25,4004.7,4006.94,4003.6,4006.09,139,0.03,
11/03/2025 11:20,4002.69,4004.84,4000.57,4004.68,199,0.05,
11/03/2025 11:15,4000.57,4004.37,3998.96,4002.74,217,0.05,
11/03/2025 11:10,3999.4,4002.32,3998.71,4001.32,192,0.05,
11/03/2025 11:05,3998.7,4000.41,3997.1,3999.49,79,0.02,
11/03/2025 11:00,3998.71,3999.68,3994.55,3998.35,-36,-0.01,
11/03/2025 10:55,3996.95,3999.31,3996.86,3998.65,170,0.04,
11/03/2025 10:50,3996.28,3998.28,3995.87,3996.91,63,0.02,
11/03/2025 10:45,3997.99,3998.67,3994.65,3996.18,-181,-0.05,
11/03/2025 10:40,3998.88,4000.29,3997.43,3997.99,-89,-0.02,
11/03/2025 10:35,3998.35,4001.43,3998.07,3998.78,43,0.01,
11/03/2025 10:30,3997.79,3998.44,3994.65,3998.17,38,0.01,
11/03/2025 10:25,3997.01,4000.61,3996.77,3997.75,74,0.02,
11/03/2025 10:20,3998.06,3998.68,3996.1,3996.97,-109,-0.03,
11/03/2025 10:15,3997.26,3999.11,3996.62,3998.1,84,0.02,
